"Name","Price","Size","InStock","DeliveryAvailable","URL"
"Tomintoul 16 Yr","$57.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/tomintoul-16-yr/p/97671750?s=1701&igrules=true"
"Balvenie The Week of Peat 14 Yr","$114.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/balvenie-the-week-of-peat-14-yr/p/220035750?s=1701&igrules=true"
"Glenfiddich Fire & Cane","$48.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/glenfiddich-fire-cane/p/192985750?s=1701&igrules=true"
"Kilchoman Machir Bay","$58.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/kilchoman-machir-bay/p/126252750?s=1701&igrules=true"
"Glen Ness 12 Yr Single Malt Scotch Whisky","$32.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/glen-ness-12-yr-single-malt-scotch-whisky/p/109458750?s=1701&igrules=true"
"Glengoyne 12 Yr","$42.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/glengoyne-12-yr/p/151749750?s=1701&igrules=true"
"Glen Moray 12 Yr","$37.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/glen-moray-12-yr/p/6888750?s=1701&igrules=true"
"Aberlour A'bunadh Alba","$114.99","750ml","","","https://www.totalwine.com/spirits/scotch/single-malt/aberlour-abunadh-alba/p/226893750?s=1701&igrules=true"
"Glengoyne 18 Yr","$124.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/glengoyne-18-yr/p/151750750?s=1701&igrules=true"
"Kavalan Whisky Distillery Select","$54.99","750ml","In Stock","Unavailable","https://www.totalwine.com/spirits/scotch/single-malt/kavalan-whisky-distillery-select/p/218335750?s=1701&igrules=true"
"Glenkinchie 12 Yr","$68.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/glenkinchie-12-yr/p/563750?s=1701&igrules=true"
"Aberfeldy 21 Yr","$159.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/aberfeldy-21-yr/p/19328750?s=1701&igrules=true"
"Balnellan Speyside Glenlivet Sherry Finish","$32.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/balnellan-speyside-glenlivet-sherry-finish/p/191444750?s=1701&igrules=true"
"Highland Park Valknut","$59.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/highland-park-valknut/p/193033750?s=1701&igrules=true"
"Jura Seven Wood Scotch","$79.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/jura-seven-wood-scotch/p/193114750?s=1701&igrules=true"
"Hamilton's Highland Single Malt Scotch Whisky","$24.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/hamiltons-highland-single-malt-scotch-whisky/p/118565750?s=1701&igrules=true"
"Kavalan Whisky Concertmaster","$79.99","750ml","Limited Quantity","Available","https://www.totalwine.com/spirits/scotch/single-malt/kavalan-whisky-concertmaster/p/133959750?s=1701&igrules=true"
"Glen Grant 12 Yr","$40.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/glen-grant-12-yr/p/173730750?s=1701&igrules=true"
"Glen Kirk 12 Year Single Malt Scotch Whisky","$39.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/glen-kirk-12-year-single-malt-scotch-whisky/p/133911750?s=1701&igrules=true"
"Glenrothes Bourbon Reserve","$45.49","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/glenrothes-bourbon-reserve/p/159519750?s=1701&igrules=true"
"Glengoyne 10 Yr","$40.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/glengoyne-10-yr/p/6886750?s=1701&igrules=true"
"Islay Gold Orla","$32.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/islay-gold-orla/p/219849750?s=1701&igrules=true"
"Singleton of Glendullan 18 Yr","$81.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/singleton-of-glendullan-18-yr/p/171608750?s=1701&igrules=true"
"Singleton of Glendullan 15 Yr","$61.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/singleton-of-glendullan-15-yr/p/171609750?s=1701&igrules=true"
"Speyburn 10 Yr","$57.99","1.75L","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/speyburn-10-yr/p/5184175?s=1701&igrules=true"
"BenRiach 10Yr Curiositas","$78.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/benriach-10yr-curiositas/p/105443750?s=1701&igrules=true"
"Glen Grant 15 Yr","$75.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/scotch/single-malt/glen-grant-15-yr/p/193118750?s=1701&igrules=true"
"Ainsley Brae Burgundy Cask Finish","$29.99","750ml","In Stock","Available","https://www.totalwine.com/spirits/deals/scotch/single-malt/ainsley-brae-burgundy-cask-finish/p/144653750?s=1701&igrules=true"
"Glendronach Port Wood 10 Year","$86.99","750ml","In Stock","Unavailable","https://www.totalwine.com/spirits/scotch/single-malt/glendronach-port-wood-10-year/p/216946750?s=1701&igrules=true"
